weaponid,r1,r2,r3,r4,r5
89,"Upon damaging an opponent, increases CRIT Rate by 8%. Max 5 stacks. A CRIT Hit removes all stacks.","Upon damaging an opponent, increases CRIT Rate by 8%. Max 5 stacks. A CRIT Hit removes all stacks.","Upon damaging an opponent, increases CRIT Rate by 8%. Max 5 stacks. A CRIT Hit removes all stacks.","Upon damaging an opponent, increases CRIT Rate by 8%. Max 5 stacks. A CRIT Hit removes all stacks.","Upon damaging an opponent, increases CRIT Rate by 8%. Max 5 stacks. A CRIT Hit removes all stacks."
90,"Increases Normal Attack DMG by 40 but decreases Aimed Shot DMG by 8/9/10/11/12%","Increases Normal Attack DMG by 50 but decreases Aimed Shot DMG by 8/9/10/11/12%","Increases Normal Attack DMG by 60 but decreases Aimed Shot DMG by 8/9/10/11/12%","Increases Normal Attack DMG by 70 but decreases Aimed Shot DMG by 8/9/10/11/12%","Increases Normal Attack DMG by 80% but decreases Aimed Shot DMG by 8/9/10/11/12%"
91,"After damaging an opponent with an Elemental Skill, the skill has a 40 chance to end its own CD. Can only occur once every 30/26/22/18/14s.","After damaging an opponent with an Elemental Skill, the skill has a 50 chance to end its own CD. Can only occur once every 30/26/22/18/14s.","After damaging an opponent with an Elemental Skill, the skill has a 60 chance to end its own CD. Can only occur once every 30/26/22/18/14s.","After damaging an opponent with an Elemental Skill, the skill has a 70 chance to end its own CD. Can only occur once every 30/26/22/18/14s.","After damaging an opponent with an Elemental Skill, the skill has a 80% chance to end its own CD. Can only occur once every 30/26/22/18/14s."
92,"After damaging an opponent with an Elemental Skill, the skill has a 40 chance to end its own CD. Can only occur once every 30/26/22/18/14s.","After damaging an opponent with an Elemental Skill, the skill has a 50 chance to end its own CD. Can only occur once every 30/26/22/18/14s.","After damaging an opponent with an Elemental Skill, the skill has a 60 chance to end its own CD. Can only occur once every 30/26/22/18/14s.","After damaging an opponent with an Elemental Skill, the skill has a 70 chance to end its own CD. Can only occur once every 30/26/22/18/14s.","After damaging an opponent with an Elemental Skill, the skill has a 80% chance to end its own CD. Can only occur once every 30/26/22/18/14s."
93,"After damaging an opponent with an Elemental Skill, the skill has a 40 chance to end its own CD. Can only occur once every 30/26/22/18/14s.","After damaging an opponent with an Elemental Skill, the skill has a 50 chance to end its own CD. Can only occur once every 30/26/22/18/14s.","After damaging an opponent with an Elemental Skill, the skill has a 60 chance to end its own CD. Can only occur once every 30/26/22/18/14s.","After damaging an opponent with an Elemental Skill, the skill has a 70 chance to end its own CD. Can only occur once every 30/26/22/18/14s.","After damaging an opponent with an Elemental Skill, the skill has a 80% chance to end its own CD. Can only occur once every 30/26/22/18/14s."
94,"After damaging an opponent with an Elemental Skill, the skill has a 40 chance to end its own CD. Can only occur once every 30/26/22/18/14s.","After damaging an opponent with an Elemental Skill, the skill has a 50 chance to end its own CD. Can only occur once every 30/26/22/18/14s.","After damaging an opponent with an Elemental Skill, the skill has a 60 chance to end its own CD. Can only occur once every 30/26/22/18/14s.","After damaging an opponent with an Elemental Skill, the skill has a 70 chance to end its own CD. Can only occur once every 30/26/22/18/14s.","After damaging an opponent with an Elemental Skill, the skill has a 80% chance to end its own CD. Can only occur once every 30/26/22/18/14s."
95,,,,,
96,"Every 4s a character is on the field, they will deal 6% more DMG and take 3% more DMG. This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be cleared when the character takes DMG.","Every 4s a character is on the field, they will deal 6% more DMG and take 3% more DMG. This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be cleared when the character takes DMG.","Every 4s a character is on the field, they will deal 6% more DMG and take 3% more DMG. This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be cleared when the character takes DMG.","Every 4s a character is on the field, they will deal 6% more DMG and take 3% more DMG. This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be cleared when the character takes DMG.","Every 4s a character is on the field, they will deal 6% more DMG and take 3% more DMG. This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be cleared when the character takes DMG."
97,"Increases DMG against weak spots by 24/30/36/42/48%.","Increases DMG against weak spots by 24/30/36/42/48%.","Increases DMG against weak spots by 24/30/36/42/48%.","Increases DMG against weak spots by 24/30/36/42/48%.","Increases DMG against weak spots by 24/30/36/42/48%."
98,,,,,
99,"On hit, Normal or Charged Attacks increase ATK by 6 for 6s. Max 4 stacks. Can only occur once every 0.5s.","On hit, Normal or Charged Attacks increase ATK by 7 for 6s. Max 4 stacks. Can only occur once every 0.5s.","On hit, Normal or Charged Attacks increase ATK by 8 for 6s. Max 4 stacks. Can only occur once every 0.5s.","On hit, Normal or Charged Attacks increase ATK by 9 for 6s. Max 4 stacks. Can only occur once every 0.5s.","On hit, Normal or Charged Attacks increase ATK by 10% for 6s. Max 4 stacks. Can only occur once every 0.5s."
100,"Using an Elemental Burst grants a 12 increase in ATK and Movement SPD for 12s.","Using an Elemental Burst grants a 15 increase in ATK and Movement SPD for 12s.","Using an Elemental Burst grants a 18 increase in ATK and Movement SPD for 12s.","Using an Elemental Burst grants a 21 increase in ATK and Movement SPD for 12s.","Using an Elemental Burst grants a 24% increase in ATK and Movement SPD for 12s."
101,"Increases Elemental DMG Bonus by 12 Normal Attack hits have a 50% chance to earn the favor of the clouds. which actively seek out nearby enemies to attack for 15s, dealing 160 ATK DMG. Can only occur once every 30s.","Increases Elemental DMG Bonus by 15 Normal Attack hits have a 50% chance to earn the favor of the clouds. which actively seek out nearby enemies to attack for 15s, dealing 200 ATK DMG. Can only occur once every 30s.","Increases Elemental DMG Bonus by 18 Normal Attack hits have a 50% chance to earn the favor of the clouds. which actively seek out nearby enemies to attack for 15s, dealing 240 ATK DMG. Can only occur once every 30s.","Increases Elemental DMG Bonus by 21 Normal Attack hits have a 50% chance to earn the favor of the clouds. which actively seek out nearby enemies to attack for 15s, dealing 280 ATK DMG. Can only occur once every 30s.","Increases Elemental DMG Bonus by 24% Normal Attack hits have a 50% chance to earn the favor of the clouds. which actively seek out nearby enemies to attack for 15s, dealing 320% ATK DMG. Can only occur once every 30s."
102,"CRIT Rate increased by 4%. Gains Skypiercing Might upon using an Elemental Burst:\nIncreases Movement SPD by 10%, increases ATK SPD by 10%, and increases the DMG of Normal and Charged Attack hits by 20% for 12s.","CRIT Rate increased by 4%. Gains Skypiercing Might upon using an Elemental Burst:\nIncreases Movement SPD by 10%, increases ATK SPD by 10%, and increases the DMG of Normal and Charged Attack hits by 20% for 12s.","CRIT Rate increased by 4%. Gains Skypiercing Might upon using an Elemental Burst:\nIncreases Movement SPD by 10%, increases ATK SPD by 10%, and increases the DMG of Normal and Charged Attack hits by 20% for 12s.","CRIT Rate increased by 4%. Gains Skypiercing Might upon using an Elemental Burst:\nIncreases Movement SPD by 10%, increases ATK SPD by 10%, and increases the DMG of Normal and Charged Attack hits by 20% for 12s.","CRIT Rate increased by 4%. Gains Skypiercing Might upon using an Elemental Burst:\nIncreases Movement SPD by 10%, increases ATK SPD by 10%, and increases the DMG of Normal and Charged Attack hits by 20% for 12s."
103,"Increases CRIT DMG by 20 Hits have a 60 chance to inflict a small AoE attack, dealing 100% Physical ATK DMG. Can only occur once every 4s.","Increases CRIT DMG by 25 Hits have a 70 chance to inflict a small AoE attack, dealing 100% Physical ATK DMG. Can only occur once every 4s.","Increases CRIT DMG by 30 Hits have a 80 chance to inflict a small AoE attack, dealing 100% Physical ATK DMG. Can only occur once every 4s.","Increases CRIT DMG by 35 Hits have a 90 chance to inflict a small AoE attack, dealing 100% Physical ATK DMG. Can only occur once every 4s.","Increases CRIT DMG by 40% Hits have a 100% chance to inflict a small AoE attack, dealing 100% Physical ATK DMG. Can only occur once every 4s."
104,"Increases all DMG by 8 After using an Elemental Burst, Normal or Charged Attack, on hit, creates a vacuum blade that does 80 Physical DMG to enemies along its path. Lasts for 20s or 8 vacuum blades.","Increases all DMG by 10 After using an Elemental Burst, Normal or Charged Attack, on hit, creates a vacuum blade that does 100 Physical DMG to enemies along its path. Lasts for 20s or 8 vacuum blades.","Increases all DMG by 12 After using an Elemental Burst, Normal or Charged Attack, on hit, creates a vacuum blade that does 120 Physical DMG to enemies along its path. Lasts for 20s or 8 vacuum blades.","Increases all DMG by 14 After using an Elemental Burst, Normal or Charged Attack, on hit, creates a vacuum blade that does 140 Physical DMG to enemies along its path. Lasts for 20s or 8 vacuum blades.","Increases all DMG by 16% After using an Elemental Burst, Normal or Charged Attack, on hit, creates a vacuum blade that does 160% Physical DMG to enemies along its path. Lasts for 20s or 8 vacuum blades."
105,"Increases CRIT Rate by 8% and increases Normal ATK SPD by 12%. Additionally, Normal and Charged Attacks hits on enemies have a 50% chance to trigger a vacuum blade that deals 40% of ATK as DMG in a small AoE. This effect can occur no more than once every 2s.","Increases CRIT Rate by 8% and increases Normal ATK SPD by 12%. Additionally, Normal and Charged Attacks hits on enemies have a 50% chance to trigger a vacuum blade that deals 40% of ATK as DMG in a small AoE. This effect can occur no more than once every 2s.","Increases CRIT Rate by 8% and increases Normal ATK SPD by 12%. Additionally, Normal and Charged Attacks hits on enemies have a 50% chance to trigger a vacuum blade that deals 40% of ATK as DMG in a small AoE. This effect can occur no more than once every 2s.","Increases CRIT Rate by 8% and increases Normal ATK SPD by 12%. Additionally, Normal and Charged Attacks hits on enemies have a 50% chance to trigger a vacuum blade that deals 40% of ATK as DMG in a small AoE. This effect can occur no more than once every 2s.","Increases CRIT Rate by 8% and increases Normal ATK SPD by 12%. Additionally, Normal and Charged Attacks hits on enemies have a 50% chance to trigger a vacuum blade that deals 40% of ATK as DMG in a small AoE. This effect can occur no more than once every 2s."
106,"If a Normal Attack or Aimed Shot hits a target within 0.3s of being fired, increases DMG by 36 otherwise, it decreases DMG by 10%.","If a Normal Attack or Aimed Shot hits a target within 0.3s of being fired, increases DMG by 42 otherwise, it decreases DMG by 10%.","If a Normal Attack or Aimed Shot hits a target within 0.3s of being fired, increases DMG by 48 otherwise, it decreases DMG by 10%.","If a Normal Attack or Aimed Shot hits a target within 0.3s of being fired, increases DMG by 54 otherwise, it decreases DMG by 10%.","If a Normal Attack or Aimed Shot hits a target within 0.3s of being fired, increases DMG by 60%; otherwise, it decreases DMG by 10%."
107,"Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s.","Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s.","Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s.","Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s.","Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s."
108,"Normal Attack hits increase Elemental Skill and Elemental Burst DMG by 20 for 6s. Likewise, Elemental Skill or Elemental Burst hits increase Normal Attack DMG by 20 for 6s.","Normal Attack hits increase Elemental Skill and Elemental Burst DMG by 25 for 6s. Likewise, Elemental Skill or Elemental Burst hits increase Normal Attack DMG by 25 for 6s.","Normal Attack hits increase Elemental Skill and Elemental Burst DMG by 30 for 6s. Likewise, Elemental Skill or Elemental Burst hits increase Normal Attack DMG by 30 for 6s.","Normal Attack hits increase Elemental Skill and Elemental Burst DMG by 35 for 6s. Likewise, Elemental Skill or Elemental Burst hits increase Normal Attack DMG by 35 for 6s.","Normal Attack hits increase Elemental Skill and Elemental Burst DMG by 40% for 6s. Likewise, Elemental Skill or Elemental Burst hits increase Normal Attack DMG by 40% for 6s."
109,"A part of the 'Millennial Movement' that wanders amidst the winds. Increases ATK by 16%, and when Normal or Charged Attacks hit opponents, the character gains a Sigil of Whispers. This effect can be triggered once every 0.3s. When you possess four Sigils of 'Whispers, all of them will be consumed and all nearby party members will obtain the 'Millennial Movement: Banner-Hymn' effect for 12s. 'Millennial Movement: Banner-Hymn' increases Normal ATK SPD by 12% and increases ATK by 20%. Once this effect is triggered, you will not gain Sigils of Whispers for 20s. Of the many effects of the 'Millennial Movement', buffs of the same type will not stack.","A part of the 'Millennial Movement' that wanders amidst the winds. Increases ATK by 16%, and when Normal or Charged Attacks hit opponents, the character gains a Sigil of Whispers. This effect can be triggered once every 0.3s. When you possess four Sigils of 'Whispers, all of them will be consumed and all nearby party members will obtain the 'Millennial Movement: Banner-Hymn' effect for 12s. 'Millennial Movement: Banner-Hymn' increases Normal ATK SPD by 12% and increases ATK by 20%. Once this effect is triggered, you will not gain Sigils of Whispers for 20s. Of the many effects of the 'Millennial Movement', buffs of the same type will not stack.","A part of the 'Millennial Movement' that wanders amidst the winds. Increases ATK by 16%, and when Normal or Charged Attacks hit opponents, the character gains a Sigil of Whispers. This effect can be triggered once every 0.3s. When you possess four Sigils of 'Whispers, all of them will be consumed and all nearby party members will obtain the 'Millennial Movement: Banner-Hymn' effect for 12s. 'Millennial Movement: Banner-Hymn' increases Normal ATK SPD by 12% and increases ATK by 20%. Once this effect is triggered, you will not gain Sigils of Whispers for 20s. Of the many effects of the 'Millennial Movement', buffs of the same type will not stack.","A part of the 'Millennial Movement' that wanders amidst the winds. Increases ATK by 16%, and when Normal or Charged Attacks hit opponents, the character gains a Sigil of Whispers. This effect can be triggered once every 0.3s. When you possess four Sigils of 'Whispers, all of them will be consumed and all nearby party members will obtain the 'Millennial Movement: Banner-Hymn' effect for 12s. 'Millennial Movement: Banner-Hymn' increases Normal ATK SPD by 12% and increases ATK by 20%. Once this effect is triggered, you will not gain Sigils of Whispers for 20s. Of the many effects of the 'Millennial Movement', buffs of the same type will not stack.","A part of the 'Millennial Movement' that wanders amidst the winds. Increases ATK by 16%, and when Normal or Charged Attacks hit opponents, the character gains a Sigil of Whispers. This effect can be triggered once every 0.3s. When you possess four Sigils of 'Whispers, all of them will be consumed and all nearby party members will obtain the 'Millennial Movement: Banner-Hymn' effect for 12s. 'Millennial Movement: Banner-Hymn' increases Normal ATK SPD by 12% and increases ATK by 20%. Once this effect is triggered, you will not gain Sigils of Whispers for 20s. Of the many effects of the 'Millennial Movement', buffs of the same type will not stack."
110,"HP increased by 20 Additionally, provides an ATK Bonus based on 0.8 of the wielder's Max HP. When the wielder's HP is less than 50%, this ATK Bonus is increased by an additional 1 of Max HP.","HP increased by 25 Additionally, provides an ATK Bonus based on 1 of the wielder's Max HP. When the wielder's HP is less than 50%, this ATK Bonus is increased by an additional 1.2 of Max HP.","HP increased by 30 Additionally, provides an ATK Bonus based on 1.2 of the wielder's Max HP. When the wielder's HP is less than 50%, this ATK Bonus is increased by an additional 1.4 of Max HP.","HP increased by 35 Additionally, provides an ATK Bonus based on 1.4 of the wielder's Max HP. When the wielder's HP is less than 50%, this ATK Bonus is increased by an additional 1.6 of Max HP.","HP increased by 40% Additionally, provides an ATK Bonus based on 1.6% of the wielder's Max HP. When the wielder's HP is less than 50%, this ATK Bonus is increased by an additional 1.8% of Max HP."
111,"Increases Shield Strength by 20 Scoring hits on opponents increases ATK by 4 for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Increases Shield Strength by 25 Scoring hits on opponents increases ATK by 5 for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Increases Shield Strength by 30 Scoring hits on opponents increases ATK by 6 for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Increases Shield Strength by 35 Scoring hits on opponents increases ATK by 7 for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Increases Shield Strength by 40% Scoring hits on opponents increases ATK by 8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%."
112,"Hitting enemies with Normal or Charged Attacks grants a 50% chance to deal 200% ATK as DMG in a small AoE. This effect can only occur once every 10s. Additionally, if the Traveler equips the Sword of Descension, their ATK is increased by 66.","Hitting enemies with Normal or Charged Attacks grants a 50% chance to deal 200% ATK as DMG in a small AoE. This effect can only occur once every 10s. Additionally, if the Traveler equips the Sword of Descension, their ATK is increased by 66.","Hitting enemies with Normal or Charged Attacks grants a 50% chance to deal 200% ATK as DMG in a small AoE. This effect can only occur once every 10s. Additionally, if the Traveler equips the Sword of Descension, their ATK is increased by 66.","Hitting enemies with Normal or Charged Attacks grants a 50% chance to deal 200% ATK as DMG in a small AoE. This effect can only occur once every 10s. Additionally, if the Traveler equips the Sword of Descension, their ATK is increased by 66.","Hitting enemies with Normal or Charged Attacks grants a 50% chance to deal 200% ATK as DMG in a small AoE. This effect can only occur once every 10s. Additionally, if the Traveler equips the Sword of Descension, their ATK is increased by 66."
113,"Continuosly sprinting for at least 1s increases ATK by 28% for 6s. This effect cannot stack.","Continuosly sprinting for at least 1s increases ATK by 28% for 6s. This effect cannot stack.","Continuosly sprinting for at least 1s increases ATK by 28% for 6s. This effect cannot stack.","Continuosly sprinting for at least 1s increases ATK by 28% for 6s. This effect cannot stack.","Continuosly sprinting for at least 1s increases ATK by 28% for 6s. This effect cannot stack."
114,"Taking DMG generates a shield which absorbs DMG up to 20 of Max HP. This shield lasts for 10s or until broken, and can only be triggered once every 45s. While protected by the shield, the character gains 12 increased DMG.","Taking DMG generates a shield which absorbs DMG up to 23 of Max HP. This shield lasts for 10s or until broken, and can only be triggered once every 45s. While protected by the shield, the character gains 15 increased DMG.","Taking DMG generates a shield which absorbs DMG up to 26 of Max HP. This shield lasts for 10s or until broken, and can only be triggered once every 45s. While protected by the shield, the character gains 18 increased DMG.","Taking DMG generates a shield which absorbs DMG up to 29 of Max HP. This shield lasts for 10s or until broken, and can only be triggered once every 45s. While protected by the shield, the character gains 21 increased DMG.","Taking DMG generates a shield which absorbs DMG up to 32% of Max HP. This shield lasts for 10s or until broken, and can only be triggered once every 45s. While protected by the shield, the character gains 24% increased DMG."
115,"Increases DMG dealt by Normal and Charged Attacks by 20%.\nAdditionally, regenerates 60% of ATK as HP when Normal and Charged Attacks score a CRIT Hit. This effect can occur once every 5s.","Increases DMG dealt by Normal and Charged Attacks by 20%.\nAdditionally, regenerates 60% of ATK as HP when Normal and Charged Attacks score a CRIT Hit. This effect can occur once every 5s.","Increases DMG dealt by Normal and Charged Attacks by 20%.\nAdditionally, regenerates 60% of ATK as HP when Normal and Charged Attacks score a CRIT Hit. This effect can occur once every 5s.","Increases DMG dealt by Normal and Charged Attacks by 20%.\nAdditionally, regenerates 60% of ATK as HP when Normal and Charged Attacks score a CRIT Hit. This effect can occur once every 5s.","Increases DMG dealt by Normal and Charged Attacks by 20%.\nAdditionally, regenerates 60% of ATK as HP when Normal and Charged Attacks score a CRIT Hit. This effect can occur once every 5s."
116,"Increases Elemental Burst DMG by 16 and Elemental Burst CRIT Rate by 6/7.5/9/10.5/12%.","Increases Elemental Burst DMG by 20 and Elemental Burst CRIT Rate by 6/7.5/9/10.5/12%.","Increases Elemental Burst DMG by 24 and Elemental Burst CRIT Rate by 6/7.5/9/10.5/12%.","Increases Elemental Burst DMG by 28 and Elemental Burst CRIT Rate by 6/7.5/9/10.5/12%.","Increases Elemental Burst DMG by 32% and Elemental Burst CRIT Rate by 6/7.5/9/10.5/12%."
117,"Normal or Charged Attacks grant Harmonic on hits. Gaining 5 Harmonics triggers the power of music and deals 100 ATK DMG to surrounding enemies. Harmonics last up to 30s, and a maximum of 1 can be gained every 0.5s.","Normal or Charged Attacks grant Harmonic on hits. Gaining 5 Harmonics triggers the power of music and deals 125 ATK DMG to surrounding enemies. Harmonics last up to 30s, and a maximum of 1 can be gained every 0.5s.","Normal or Charged Attacks grant Harmonic on hits. Gaining 5 Harmonics triggers the power of music and deals 150 ATK DMG to surrounding enemies. Harmonics last up to 30s, and a maximum of 1 can be gained every 0.5s.","Normal or Charged Attacks grant Harmonic on hits. Gaining 5 Harmonics triggers the power of music and deals 175 ATK DMG to surrounding enemies. Harmonics last up to 30s, and a maximum of 1 can be gained every 0.5s.","Normal or Charged Attacks grant Harmonic on hits. Gaining 5 Harmonics triggers the power of music and deals 200% ATK DMG to surrounding enemies. Harmonics last up to 30s, and a maximum of 1 can be gained every 0.5s."
118,"Increases Elemental Skill and Elemental Burst DMG by 24/30/36/42/48%.","Increases Elemental Skill and Elemental Burst DMG by 24/30/36/42/48%.","Increases Elemental Skill and Elemental Burst DMG by 24/30/36/42/48%.","Increases Elemental Skill and Elemental Burst DMG by 24/30/36/42/48%.","Increases Elemental Skill and Elemental Burst DMG by 24/30/36/42/48%."
119,"Increases Shield Strength by 20 scoring hits on opponents increases ATK by 4 for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield this ATK increase effect is increased by 100%","Increases Shield Strength by 25 scoring hits on opponents increases ATK by 5 for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield this ATK increase effect is increased by 100%","Increases Shield Strength by 30 scoring hits on opponents increases ATK by 6 for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield this ATK increase effect is increased by 100%","Increases Shield Strength by 35 scoring hits on opponents increases ATK by 7 for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield this ATK increase effect is increased by 100%","Increases Shield Strength by 40%, scoring hits on opponents increases ATK by 8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield this ATK increase effect is increased by 100%"
120,"Upon hit, Normal and Aimed Shot Attacks have a 50% chance to generate a Cyclone, which will continuously attract surrounding enemies, dealing 40% of ATK as DMG to these enemies every 0.5s for 4s. This effect can only occur once every 14s.","Upon hit, Normal and Aimed Shot Attacks have a 50% chance to generate a Cyclone, which will continuously attract surrounding enemies, dealing 40% of ATK as DMG to these enemies every 0.5s for 4s. This effect can only occur once every 14s.","Upon hit, Normal and Aimed Shot Attacks have a 50% chance to generate a Cyclone, which will continuously attract surrounding enemies, dealing 40% of ATK as DMG to these enemies every 0.5s for 4s. This effect can only occur once every 14s.","Upon hit, Normal and Aimed Shot Attacks have a 50% chance to generate a Cyclone, which will continuously attract surrounding enemies, dealing 40% of ATK as DMG to these enemies every 0.5s for 4s. This effect can only occur once every 14s.","Upon hit, Normal and Aimed Shot Attacks have a 50% chance to generate a Cyclone, which will continuously attract surrounding enemies, dealing 40% of ATK as DMG to these enemies every 0.5s for 4s. This effect can only occur once every 14s."
121,"When the character takes the field, they gain a random theme song for 10s:\nRecitative: Increases Base ATK by 60%\nInterlude: Elemental Mastery is increased by 240\nAria: Increases all Elemental DMG by 48%\nCan only occur once every 30s","When the character takes the field, they gain a random theme song for 10s:\nRecitative: Increases Base ATK by 60%\nInterlude: Elemental Mastery is increased by 240\nAria: Increases all Elemental DMG by 48%\nCan only occur once every 30s","When the character takes the field, they gain a random theme song for 10s:\nRecitative: Increases Base ATK by 60%\nInterlude: Elemental Mastery is increased by 240\nAria: Increases all Elemental DMG by 48%\nCan only occur once every 30s","When the character takes the field, they gain a random theme song for 10s:\nRecitative: Increases Base ATK by 60%\nInterlude: Elemental Mastery is increased by 240\nAria: Increases all Elemental DMG by 48%\nCan only occur once every 30s","When the character takes the field, they gain a random theme song for 10s:\nRecitative: Increases Base ATK by 60%\nInterlude: Elemental Mastery is increased by 240\nAria: Increases all Elemental DMG by 48%\nCan only occur once every 30s"
122,"When switching characters, the new character taking the field has their ATK increased by 24 for 10s. This effect can only occur once every 20s.","When switching characters, the new character taking the field has their ATK increased by 30 for 10s. This effect can only occur once every 20s.","When switching characters, the new character taking the field has their ATK increased by 36 for 10s. This effect can only occur once every 20s.","When switching characters, the new character taking the field has their ATK increased by 42 for 10s. This effect can only occur once every 20s.","When switching characters, the new character taking the field has their ATK increased by 48% for 10s. This effect can only occur once every 20s."
123,"Increases ATK by 20% and grants the might of the Thunder Emblem. At stack levels 1 The character will obtain 1 stack of Thunder Emblem in each of the following scenarios: Normal Attack deals DMG (stack lasts 5s), casting Elemental Skill (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently.","Increases ATK by 20% and grants the might of the Thunder Emblem. At stack levels 2 The character will obtain 1 stack of Thunder Emblem in each of the following scenarios: Normal Attack deals DMG (stack lasts 5s), casting Elemental Skill (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently.","Increases ATK by 20% and grants the might of the Thunder Emblem. At stack levels 3, the Thunder Emblem increases Normal Attack DMG by 12 The character will obtain 1 stack of Thunder Emblem in each of the following scenarios: Normal Attack deals DMG (stack lasts 5s), casting Elemental Skill (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently.","Increases ATK by 20% and grants the might of the Thunder Emblem. At stack levels 24 The character will obtain 1 stack of Thunder Emblem in each of the following scenarios: Normal Attack deals DMG (stack lasts 5s), casting Elemental Skill (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently.","Increases ATK by 20% and grants the might of the Thunder Emblem. At stack levels 40% The character will obtain 1 stack of Thunder Emblem in each of the following scenarios: Normal Attack deals DMG (stack lasts 5s), casting Elemental Skill (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently."
124,"Each Elemental Orb or Particle collected restores 1 HP.","Each Elemental Orb or Particle collected restores 1.25 HP.","Each Elemental Orb or Particle collected restores 1.5 HP.","Each Elemental Orb or Particle collected restores 1.75 HP.","Each Elemental Orb or Particle collected restores 2% HP."
125,"Defeating an enemy increases Movement SPD and ATK by 12 for 15s.","Defeating an enemy increases Movement SPD and ATK by 14 for 15s.","Defeating an enemy increases Movement SPD and ATK by 16 for 15s.","Defeating an enemy increases Movement SPD and ATK by 18 for 15s.","Defeating an enemy increases Movement SPD and ATK by 20% for 15s."
126,"Increases Shield Strength by 20 scoring hits on opponents increases ATK by 4 for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield this ATK increase effect is increased by 100%","Increases Shield Strength by 25 scoring hits on opponents increases ATK by 5 for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield this ATK increase effect is increased by 100%","Increases Shield Strength by 30 scoring hits on opponents increases ATK by 6 for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield this ATK increase effect is increased by 100%","Increases Shield Strength by 35 scoring hits on opponents increases ATK by 7 for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield this ATK increase effect is increased by 100%","Increases Shield Strength by 40%, scoring hits on opponents increases ATK by 8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield this ATK increase effect is increased by 100%"
127,,,,,
128,"For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.12 A maximum of 40 increased Elemental Burst DMG can be achieved this way.","For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.15 A maximum of 50 increased Elemental Burst DMG can be achieved this way.","For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.18 A maximum of 60 increased Elemental Burst DMG can be achieved this way.","For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.21 A maximum of 70 increased Elemental Burst DMG can be achieved this way.","For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.24% A maximum of 80% increased Elemental Burst DMG can be achieved this way."
